B.beta	C.beta	D.beta	B.se	C.se	D.se	A.rate	B.rate	C.rate	D.rate
-0.35620602635038795	-0.39733859823934004	-0.41481561582208903	0.0243107641366639	0.0395302715704887	0.03419308006083299	0.23076923076923103	0.384615384615385	0.23076923076923103	0.23076923076923103
-0.276675233780935	-0.41326602500664794	-0.40178982809079294	0.0218808739996526	0.0287373709769464	0.0355707089552733	0.23076923076923103	0.384615384615385	0.23076923076923103	0.23076923076923103
-0.32045586588738	-0.38596160364607496	-0.410085180976619	0.0258940689588418	0.0280719896016387	0.0450756226195272	0.23076923076923103	0.384615384615385	0.23076923076923103	0.23076923076923103
-0.327355637619211	-0.378218867996642	-0.37686425327015993	0.0262192010990695	0.0322680723237787	0.0349095214904094	0.23076923076923103	0.384615384615385	0.23076923076923103	0.23076923076923103
-0.34469501788761303	-0.400941757174633	-0.386501847985844	0.0247237461368051	0.034406407836531	0.0307628872502808	0.23076923076923103	0.384615384615385	0.23076923076923103	0.23076923076923103
-0.358785786059403	-0.407644866587699	-0.404640181800845	0.0249218575352833	0.0375000947150195	0.0362162500394187	0.23076923076923103	0.384615384615385	0.23076923076923103	0.23076923076923103
-0.33384211901833194	-0.3587512125561079	-0.32073022715309696	0.0238263430970944	0.0364886768510939	0.0326165208794395	0.23076923076923103	0.384615384615385	0.23076923076923103	0.384615384615385
-0.33974039841771	-0.373070581220811	-0.36536559007664005	0.0223375271701062	0.0377584478717357	0.0201545575966196	0.23076923076923103	0.384615384615385	0.23076923076923103	0.384615384615385
-0.27699714459641	-0.40059713634114297	-0.29678753357025606	0.022681300212714	0.0326751912166687	0.0296935821426674	0.23076923076923103	0.384615384615385	0.23076923076923103	0.384615384615385
-0.35047085371354303	-0.34136777112461997	-0.401761859133304	0.0301531460272941	0.0217833785879003	0.0347484569864777	0.23076923076923103	0.384615384615385	0.384615384615385	0.23076923076923103
-0.301203473024203	-0.350761011427627	-0.376635138156989	0.0190524448277603	0.0283553085128942	0.0296871375185246	0.23076923076923103	0.384615384615385	0.384615384615385	0.23076923076923103
-0.35864962784633003	-0.288873043125408	-0.40977939061826096	0.0273938206621556	0.0223648768824508	0.0352698088027075	0.23076923076923103	0.384615384615385	0.384615384615385	0.23076923076923103
-0.365743957308003	-0.32835895211596505	-0.35615877190661205	0.0239259722129259	0.0251876108646564	0.0396900973526945	0.23076923076923103	0.384615384615385	0.384615384615385	0.23076923076923103
-0.338909241356889	-0.297055801783822	-0.3863111594237679	0.0264935919173866	0.0239560555553378	0.0299241324845178	0.23076923076923103	0.384615384615385	0.384615384615385	0.23076923076923103
-0.343483433600042	-0.340703653219964	-0.38978897102994203	0.028327256240538997	0.0287433367178931	0.035999873044553	0.23076923076923103	0.384615384615385	0.384615384615385	0.23076923076923103
-0.33164413459076597	-0.322123507208318	-0.334220111388847	0.0249925745686873	0.0250551586783945	0.0309990359626705	0.23076923076923103	0.384615384615385	0.384615384615385	0.384615384615385
-0.331888857275489	-0.334057835730815	-0.36138455851546897	0.0315950623443611	0.0282022133651879	0.0233789336028147	0.23076923076923103	0.384615384615385	0.384615384615385	0.384615384615385
-0.338328965526703	-0.32492016866708195	-0.305638341692281	0.0223952981954265	0.0302771919125498	0.0277906044830291	0.23076923076923103	0.384615384615385	0.384615384615385	0.384615384615385
-0.34456872978621306	-0.357866386988452	-0.419340640417287	0.0282683865108687	0.0264551828168446	0.0346546371621661	0.23076923076923103	0.384615384615385	0.384615384615385	0.23076923076923103
-0.359940739267186	-0.36587367715498104	-0.3676013534239529	0.027681280983422995	0.0340640491469898	0.034754753726938994	0.23076923076923103	0.384615384615385	0.384615384615385	0.23076923076923103
-0.347468901637192	-0.32896199642638396	-0.390942668156685	0.0216541317756742	0.0232854975087629	0.034761165614534	0.23076923076923103	0.384615384615385	0.384615384615385	0.23076923076923103
-0.31639354418152	-0.316585448080982	-0.366990840627342	0.023290437221476	0.0261929311575679	0.0350431922882402	0.23076923076923103	0.384615384615385	0.384615384615385	0.23076923076923103
-0.29806532911643396	-0.315371116367303	-0.423990183090001	0.0272173748266004	0.0294087798366843	0.0442154312698724	0.23076923076923103	0.384615384615385	0.384615384615385	0.23076923076923103
-0.35075722739588	-0.32495019682857396	-0.35873065614912397	0.0252938810653663	0.0269091239798182	0.0284843224075476	0.23076923076923103	0.384615384615385	0.384615384615385	0.23076923076923103
-0.32629863643415197	-0.30179616362433603	-0.340327827187285	0.026647509848523	0.0241770665463027	0.0306502621562155	0.23076923076923103	0.384615384615385	0.384615384615385	0.384615384615385
-0.311364133851634	-0.325707162282831	-0.321832532934064	0.0325194565587595	0.0264181783400526	0.0206511972927072	0.23076923076923103	0.384615384615385	0.384615384615385	0.384615384615385
-0.30892961746299896	-0.31778576307860495	-0.29874895533087603	0.026121192746397005	0.0249147239535014	0.0300383804402861	0.23076923076923103	0.384615384615385	0.384615384615385	0.384615384615385
