"beta"	"se"	"z_value"	"P"
"B"	-0.326890944472527	0.0305029725888609	-10.7166914149181	8.49893542582469e-27
"C"	-0.3467280532699	0.0289102559672596	-11.9932543545295	3.85457972792536e-33
"D"	-0.321254912753281	0.0296559867042652	-10.8327170482268	2.40899245365223e-27
